plot;tree;dbh;h;family;specie
23;423;4,774648293;2,5;Melastomataceae;Miconia sp1
23;424;5,729577951;2,5;Sapotaceae;Pouteria ramiflora
23;425;12,25493062;4,5;Bignoniaceae;Tabebuia aurea
23;425;5,092958179;2,5;Bignoniaceae;Tabebuia aurea
24;426;7,321127382;3;Caryocaraceae;Caryocar brasiliense
24;427;14,64225476;6;Vochysiaceae;Qualea grandiflora
24;428;9,549296586;4,5;Bignoniaceae;Tabebuia aurea
24;429;10,50422624;5;Vochysiaceae;Qualea grandiflora
24;431;6,843662553;2,5;Ochnaceae;Ouratea spectabilis
24;432;11,14084602;3,5;Myrtaceae;Myrcia sp1
24;432;8,912676813;3,5;Myrtaceae;Myrcia sp1
24;433;4,774648293;2,5;Bignoniaceae;Handroanthus albus
24;434;8,276057041;3,5;Bignoniaceae;Tabebuia aurea
24;435;5,092958179;3,5;Bignoniaceae;Handroanthus albus
24;436;11,4591559;5;Ebenaceae;Diospyros hispida
24;436;5,729577951;2,5;Ebenaceae;Diospyros hispida
24;437;5,411268065;3,5;Bignoniaceae;Handroanthus albus
24;438;7,321127382;4,5;Myrtaceae;Campomanesia adamantium
24;438;5,411268065;4;Myrtaceae;Campomanesia adamantium
24;439;7,957747155;4,5;Myrtaceae;Campomanesia adamantium
24;439;6,047887837;4,5;Myrtaceae;Campomanesia adamantium
24;440;15,27887454;7,5;Malpighiaceae;Byrsonima verbascifolia
24;441;7,639437268;4;Annonaceae;Annona coriacea
24;442;16,87042397;4;Myrtaceae;Myrcia sp1
24;443;5,252113122;3;Bignoniaceae;Handroanthus albus
25;444;19,73521294;7,5;Vochysiaceae;Qualea parviflora
25;447;5,092958179;2,5;Fabaceae;Leptolobium elegans
25;448;12,09577567;5,5;Lythraceae;Lafoensia pacari
25;449;8,594366927;5,5;Fabaceae;Anadenanthera falcata
25;450;5,729577951;2,5;Myrtaceae;Myrcia sp1
25;451;9,071831756;4,5;Lythraceae;Lafoensia pacari
25;452;19,73521294;8;Fabaceae;Anadenanthera falcata
25;453;11,4591559;6;Sapotaceae;Pouteria torta
25;455;12,09577567;6;Sapotaceae;Pouteria torta
25;456;7,957747155;4;Sapotaceae;Pouteria torta
26;457;6,366197724;2,5;Bignoniaceae;Tabebuia aurea
26;458;14,00563499;6;Fabaceae;Anadenanthera falcata
26;459;11,4591559;4,5;Myrtaceae;Psidium laruotteanum
